,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
681,Narciso Rodriguez,Perfume,4.5,-0.12206572769953052,0.038978756577665176,128.0,No,No,No,10.897879691756224
682,Narciso Rodriguez,Perfume,4.5,2.676056338028169,1.6371077762619373,100.0,No,No,No,9.886487181936577
683,Narciso Rodriguez,Fragrance,0.0,-0.2535211267605634,-0.3611381796920678,46.0,Yes,No,Yes,7.149757390957891
684,Narciso Rodriguez,Perfume Gift Sets,4.0,-0.18779342723004694,0.1364256480218281,40.0,No,No,No,6.721017968599322
685,NEST New York,Perfume,4.0,0.9014084507042254,0.7016176183979731,74.0,No,Yes,No,8.749506568302204
686,NEST New York,Perfume,4.5,0.13145539906103287,0.09744689144416294,74.0,No,Yes,No,8.749506568302204
687,NEST New York,Perfume Gift Sets,4.0,-0.2347417840375587,-0.038978756577665176,40.0,No,Yes,Yes,6.721017968599322
688,NEST New York,Perfume,4.5,4.253521126760563,3.020853634769051,74.0,No,No,No,8.749506568302204
689,NEST New York,Perfume,4.5,0.5727699530516432,0.6431494835314754,128.0,Yes,No,No,10.897879691756224
690,NEST New York,Perfume,4.5,-0.15023474178403756,0.1559150263106607,27.0,No,Yes,No,5.606823093454363
691,NEST New York,Perfume Gift Sets,4.5,-0.16901408450704225,0.09744689144416294,22.0,No,Yes,Yes,5.076002742512173
692,NEST New York,Perfume,4.5,1.6807511737089202,1.6371077762619373,74.0,No,No,No,8.749506568302204
693,NEST New York,Perfume,4.5,2.8262910798122065,1.6371077762619373,74.0,No,No,No,8.749506568302204
694,NEST New York,Perfume,4.5,2.2347417840375585,1.2473202104852856,74.0,No,No,No,8.749506568302204
695,NEST New York,Perfume,4.5,0.36619718309859156,0.5067238355096473,74.0,No,Yes,No,8.749506568302204
696,NEST New York,Perfume,4.5,0.9953051643192489,0.8965114012862989,74.0,No,No,No,8.749506568302204
697,NEST New York,Fragrance,0.0,-0.2535211267605634,-0.39875267978951473,54.0,No,No,Yes,7.664151279756233
698,NEST New York,Fragrance,0.0,-0.2535211267605634,-0.40791268758526605,54.0,Yes,No,Yes,7.664151279756233
699,NEST New York,Perfume Gift Sets,0.0,-0.2535211267605634,-0.37789904502046384,22.0,No,Yes,Yes,5.076002742512173
700,NEST New York,Perfume Gift Sets,4.5,-0.1784037558685446,-0.25102319236016374,14.0,No,Yes,Yes,4.01311568041789
701,NEST New York,Perfume Gift Sets,4.5,0.12206572769953052,1.0134476710192946,40.0,No,Yes,No,6.721017968599322
702,Origins,Perfume,4.5,0.14084507042253522,0.3702981874878191,61.5,No,No,No,8.099820667183927
703,OUAI,Perfume,4.0,0.40375586854460094,0.7405963749756382,56.0,No,No,No,7.784283642881873
704,OUAI,Perfume,4.0,0.6666666666666666,1.0329370493081271,56.0,No,No,No,7.784283642881873
705,Paco Rabanne,Cologne,4.5,3.3615023474178405,1.5201715065289416,92.0,No,No,No,9.561348581144523
706,Paco Rabanne,Cologne,5.0,0.9953051643192489,0.7600857532644708,92.0,No,No,No,9.561348581144523
707,Paco Rabanne,Cologne,4.5,0.028169014084507043,-0.17540440459949327,92.0,No,No,No,9.561348581144523
708,Paco Rabanne,Cologne,5.0,0.07511737089201878,-0.1559150263106607,100.0,No,No,No,9.886487181936577
709,Paco Rabanne,Perfume,5.0,-0.1784037558685446,-0.33268368739037224,100.0,No,No,No,9.886487181936577
710,Paco Rabanne,Cologne,5.0,-0.14084507042253522,-0.31670239719352955,92.0,No,No,No,9.561348581144523
